payer,cpt_code,description,allowed_amount,effective_date
Cigna,99407,"Tobacco/smoking cessation counseling, more than 10 min",,
Cigna,99408,"Alcohol/substance screening + brief intervention, 15-30 min",,
Cigna,99409,"Alcohol/substance screening + brief intervention, more than 30 min",,
Cigna,99411,"Group preventive counseling, approx 30 min",,
Cigna,99412,"Group preventive counseling, approx 60 min",,
Cigna,97802,"Medical nutrition therapy, initial assessment (per 15 min)",,
Cigna,97803,"Medical nutrition therapy, re-assessment (per 15 min)",,
Cigna,97804,"Medical nutrition therapy, group (per 30 min)",,
Cigna,G0473,Group behavioral counseling for obesity,,
Cigna,80305,"Drug test, presumptive — direct optical observation",,
Cigna,80306,"Drug test, presumptive — instrument-assisted",,
Cigna,96372,"Therapeutic injection, subcutaneous or intramuscular",,
Cigna,99446,"Interprofessional consult, 5-10 min",,
Cigna,99447,"Interprofessional consult, 11-20 min",,
Cigna,99448,"Interprofessional consult, 21-30 min",,
Cigna,99449,"Interprofessional consult, 31+ min",,
Cigna,99451,Interprofessional consult with written report (no verbal discussion),,
Cigna,99452,Requesting provider prep/communication time,,
Cigna,G0546,"CMS behavioral health consult, 5-10 min",,
Cigna,G0547,"CMS behavioral health consult, 11-20 min",,
Cigna,G0548,"CMS behavioral health consult, 21-30 min",,
Cigna,G0549,"CMS behavioral health consult, 31+ min",,
Cigna,G0550,"CMS behavioral health consult, written report only",,
Cigna,G0551,Extended records review / record referral service,,
Cigna,99484,"General behavioral health integration, monthly (20+ min)",,
Cigna,99492,"Psychiatric CoCM, initial month (70+ min)",,
Cigna,99493,"Psychiatric CoCM, subsequent months (60+ min)",,
Cigna,99494,CoCM additional 30 min (add-on),,
Cigna,G0323,BHI by clinical psychologist or social worker,,
Cigna,99483,Cognitive assessment and care plan,,
Cigna,G2214,CoCM shorter-duration monthly service,,
Cigna,G0511,General care management in RHC/FQHC,,
Cigna,G0512,Psychiatric CoCM in RHC/FQHC,,
Cigna,G0444,Annual depression screening (Medicare preventive),,
Cigna,G0544,Post-crisis follow-up contacts,,
Cigna,G0560,Suicide/overdose safety planning intervention,,
Cigna,G0552,"Digital mental health treatment, supply + onboarding",,
Cigna,G0553,"Digital mental health treatment management, first 20 min/month",,
Cigna,G0554,"Digital mental health treatment management, additional 20 min",,
Cigna,H0001,Alcohol and/or drug assessment,,
Cigna,H0004,"Behavioral health counseling/therapy, per 15 min",,
Cigna,H0005,Alcohol/drug group counseling,,
Cigna,H0033,"Oral medication administration, directly observed",242.55,
Cigna,H2011,"Crisis intervention, per 15 min",,
Cigna,H2014,"Skills training and development, per 15 min",,
Cigna,98002,Optum/UHC telehealth equivalent of 99204,,
Cigna,98003,Optum/UHC telehealth equivalent of 99205,,
Cigna,98006,Optum/UHC telehealth equivalent of 99214,,
Cigna,98007,Optum/UHC telehealth equivalent of 99215,,
Optum/UHC/Oscar,90785,Interactive complexity add-on,,
Optum/UHC/Oscar,90791,Psychiatric diagnostic eval (no medical services),,
Optum/UHC/Oscar,90792,Psychiatric diagnostic eval (with medical services),,
Optum/UHC/Oscar,90832,"Individual psychotherapy, 30 min",,
Optum/UHC/Oscar,90833,30-min psychotherapy add-on with E/M,64.63,
Optum/UHC/Oscar,90834,"Individual psychotherapy, 45 min",,
Optum/UHC/Oscar,90836,45-min psychotherapy add-on with E/M,74.89,
Optum/UHC/Oscar,90837,"Individual psychotherapy, 60 min",,
Optum/UHC/Oscar,90838,60-min psychotherapy add-on with E/M,99.08,
Optum/UHC/Oscar,90839,"Psychotherapy for crisis, first 60 min",,
Optum/UHC/Oscar,90840,"Crisis psychotherapy, each additional 30 min",,
Optum/UHC/Oscar,90846,Family psychotherapy without patient present,,
Optum/UHC/Oscar,90847,Family psychotherapy with patient present,,
Optum/UHC/Oscar,90849,Multiple-family group psychotherapy,,
Optum/UHC/Oscar,90853,Group psychotherapy,,
Optum/UHC/Oscar,90875,"Psychophysiological therapy with biofeedback, 30 min",12.67,
Optum/UHC/Oscar,90876,"Psychophysiological therapy with biofeedback, 45 min",,
Optum/UHC/Oscar,90880,Hypnotherapy,,
Optum/UHC/Oscar,90882,Environmental intervention for psychiatric treatment,,
Optum/UHC/Oscar,90887,Interpretation of psychiatric records to family/caregivers,,
Optum/UHC/Oscar,90901,"Biofeedback training, any modality",,
Optum/UHC/Oscar,90867,"TMS treatment, initial delivery + motor threshold",,
Optum/UHC/Oscar,90868,"TMS treatment, subsequent delivery",,
Optum/UHC/Oscar,90869,TMS re-determination of motor threshold,,
Optum/UHC/Oscar,90870,Electroconvulsive therapy (ECT),,
Optum/UHC/Oscar,96110,Developmental screening,,
Optum/UHC/Oscar,96116,"Neurobehavioral status exam, first hour",,
Optum/UHC/Oscar,96121,"Neurobehavioral status exam, each additional hour",,
Optum/UHC/Oscar,96127,Brief emotional/behavioral assessment,,
Optum/UHC/Oscar,96156,Health behavior assessment or re-assessment,,
Optum/UHC/Oscar,96160,Patient-focused health risk assessment,,
Optum/UHC/Oscar,96161,Caregiver-focused health risk assessment,,
Optum/UHC/Oscar,96130,"Psychological testing evaluation, first hour",,
Optum/UHC/Oscar,96131,"Psychological testing evaluation, each additional hour",,
Optum/UHC/Oscar,96132,"Neuropsychological testing evaluation, first hour",,
Optum/UHC/Oscar,96133,"Neuropsychological testing evaluation, each additional hour",,
Optum/UHC/Oscar,96136,"Test administration/scoring by clinician, first 30 min",,
Optum/UHC/Oscar,96137,"Test administration/scoring by clinician, each additional 30 min",,
Optum/UHC/Oscar,96138,"Test administration by technician, first 30 min",,
Optum/UHC/Oscar,96139,"Test administration by technician, each additional 30 min",,
Optum/UHC/Oscar,96146,Psychological test via automated platform,,
Optum/UHC/Oscar,96158,"Individual health behavior intervention, first 30 min",,
Optum/UHC/Oscar,96159,"Individual health behavior intervention, each additional 15 min",,
Optum/UHC/Oscar,96164,"Group health behavior intervention, first 30 min",,
Optum/UHC/Oscar,96165,"Group health behavior intervention, each additional 15 min",,
Optum/UHC/Oscar,96167,"Family health behavior intervention with patient, first 30 min",,
Optum/UHC/Oscar,96168,"Family health behavior intervention with patient, each additional 15 min",,
Optum/UHC/Oscar,96170,"Family health behavior intervention without patient, first 30 min",,
Optum/UHC/Oscar,96171,"Family health behavior intervention without patient, each additional 15 min",,
Optum/UHC/Oscar,99202,"New patient E/M, low complexity ~15-29 min",,
Optum/UHC/Oscar,99203,"New patient E/M, low complexity ~30-44 min",,
Optum/UHC/Oscar,99204,"New patient E/M, moderate complexity ~45-59 min",,
Optum/UHC/Oscar,99205,"New patient E/M, high complexity ~60-74 min",,
Optum/UHC/Oscar,99211,"Established patient, minimal complexity",,
Optum/UHC/Oscar,99212,"Established patient, straightforward ~10-19 min",,
Optum/UHC/Oscar,99213,"Established patient, low complexity ~20-29 min",,
Optum/UHC/Oscar,99214,"Established patient, moderate complexity ~30-39 min",109.17,
Optum/UHC/Oscar,99215,"Established patient, high complexity ~40-54 min",152.95,
Optum/UHC/Oscar,99241,"Office consultation, straightforward",,
Optum/UHC/Oscar,99242,"Office consultation, low complexity",,
Optum/UHC/Oscar,99243,"Office consultation, moderate complexity",,
Optum/UHC/Oscar,99244,"Office consultation, moderate-high complexity",,
Optum/UHC/Oscar,99245,"Office consultation, high complexity",,
Optum/UHC/Oscar,99341,"Home visit, new patient, low complexity",,
Optum/UHC/Oscar,99350,"Home visit, established patient, high complexity",,
Optum/UHC/Oscar,99417,"Prolonged outpatient E/M, each additional 15 min",,
Optum/UHC/Oscar,99421,"Online digital E/M, 5-10 min (established patient)",,
Optum/UHC/Oscar,99422,"Online digital E/M, 11-20 min (established patient)",,
Optum/UHC/Oscar,99423,"Online digital E/M, 21+ min (established patient)",,
Optum/UHC/Oscar,98970,"Non-physician online digital assessment, 5-10 min",,
Optum/UHC/Oscar,98971,"Non-physician online digital assessment, 11-20 min",,
Optum/UHC/Oscar,98972,"Non-physician online digital assessment, 21+ min",,
Optum/UHC/Oscar,99441,"Telephone E/M, 5-10 min",,
Optum/UHC/Oscar,99442,"Telephone E/M, 11-20 min",,
Optum/UHC/Oscar,99443,"Telephone E/M, 21-30 min",,
Optum/UHC/Oscar,G2010,Remote review of patient-submitted image/video,,
Optum/UHC/Oscar,G2012,"Virtual check-in (brief communication, 5-10 min)",,
Optum/UHC/Oscar,99401,"Preventive counseling, approx 15 min",,
Optum/UHC/Oscar,99402,"Preventive counseling, approx 30 min",,
Optum/UHC/Oscar,99403,"Preventive counseling, approx 45 min",,
Optum/UHC/Oscar,99404,"Preventive counseling, approx 60 min",,
Optum/UHC/Oscar,99406,"Tobacco/smoking cessation counseling, 3-10 min",,
Optum/UHC/Oscar,99407,"Tobacco/smoking cessation counseling, more than 10 min",,
Optum/UHC/Oscar,99408,"Alcohol/substance screening + brief intervention, 15-30 min",,
Optum/UHC/Oscar,99409,"Alcohol/substance screening + brief intervention, more than 30 min",,
Optum/UHC/Oscar,99411,"Group preventive counseling, approx 30 min",,
Optum/UHC/Oscar,99412,"Group preventive counseling, approx 60 min",,
Optum/UHC/Oscar,97802,"Medical nutrition therapy, initial assessment (per 15 min)",,
Optum/UHC/Oscar,97803,"Medical nutrition therapy, re-assessment (per 15 min)",,
Optum/UHC/Oscar,97804,"Medical nutrition therapy, group (per 30 min)",,
Optum/UHC/Oscar,G0473,Group behavioral counseling for obesity,,
Optum/UHC/Oscar,80305,"Drug test, presumptive — direct optical observation",,
Optum/UHC/Oscar,80306,"Drug test, presumptive — instrument-assisted",,
Optum/UHC/Oscar,96372,"Therapeutic injection, subcutaneous or intramuscular",,
Optum/UHC/Oscar,99446,"Interprofessional consult, 5-10 min",,
Optum/UHC/Oscar,99447,"Interprofessional consult, 11-20 min",,
Optum/UHC/Oscar,99448,"Interprofessional consult, 21-30 min",,
Optum/UHC/Oscar,99449,"Interprofessional consult, 31+ min",,
Optum/UHC/Oscar,99451,Interprofessional consult with written report (no verbal discussion),,
Optum/UHC/Oscar,99452,Requesting provider prep/communication time,,
Optum/UHC/Oscar,G0546,"CMS behavioral health consult, 5-10 min",,
Optum/UHC/Oscar,G0547,"CMS behavioral health consult, 11-20 min",,
Optum/UHC/Oscar,G0548,"CMS behavioral health consult, 21-30 min",,
Optum/UHC/Oscar,G0549,"CMS behavioral health consult, 31+ min",,
Optum/UHC/Oscar,G0550,"CMS behavioral health consult, written report only",,
Optum/UHC/Oscar,G0551,Extended records review / record referral service,,
Optum/UHC/Oscar,99484,"General behavioral health integration, monthly (20+ min)",,
Optum/UHC/Oscar,99492,"Psychiatric CoCM, initial month (70+ min)",,
Optum/UHC/Oscar,99493,"Psychiatric CoCM, subsequent months (60+ min)",,
Optum/UHC/Oscar,99494,CoCM additional 30 min (add-on),,
Optum/UHC/Oscar,G0323,BHI by clinical psychologist or social worker,,
Optum/UHC/Oscar,99483,Cognitive assessment and care plan,,
Optum/UHC/Oscar,G2214,CoCM shorter-duration monthly service,,
Optum/UHC/Oscar,G0511,General care management in RHC/FQHC,,
Optum/UHC/Oscar,G0512,Psychiatric CoCM in RHC/FQHC,,
Optum/UHC/Oscar,G0444,Annual depression screening (Medicare preventive),,
Optum/UHC/Oscar,G0544,Post-crisis follow-up contacts,,
Optum/UHC/Oscar,G0560,Suicide/overdose safety planning intervention,,
Optum/UHC/Oscar,G0552,"Digital mental health treatment, supply + onboarding",,
Optum/UHC/Oscar,G0553,"Digital mental health treatment management, first 20 min/month",,
Optum/UHC/Oscar,G0554,"Digital mental health treatment management, additional 20 min",,
Optum/UHC/Oscar,H0001,Alcohol and/or drug assessment,,
Optum/UHC/Oscar,H0004,"Behavioral health counseling/therapy, per 15 min",,
Optum/UHC/Oscar,H0005,Alcohol/drug group counseling,,
Optum/UHC/Oscar,H0033,"Oral medication administration, directly observed",,
Optum/UHC/Oscar,H2011,"Crisis intervention, per 15 min",,
Optum/UHC/Oscar,H2014,"Skills training and development, per 15 min",,
Optum/UHC/Oscar,98002,Optum/UHC telehealth equivalent of 99204,,
Optum/UHC/Oscar,98003,Optum/UHC telehealth equivalent of 99205,,
Optum/UHC/Oscar,98006,Optum/UHC telehealth equivalent of 99214,,
Optum/UHC/Oscar,98007,Optum/UHC telehealth equivalent of 99215,,
Wellmark Iowa,90785,Interactive complexity add-on,,
Wellmark Iowa,90791,Psychiatric diagnostic eval (no medical services),,
Wellmark Iowa,90792,Psychiatric diagnostic eval (with medical services),,
Wellmark Iowa,90832,"Individual psychotherapy, 30 min",,
Wellmark Iowa,90833,30-min psychotherapy add-on with E/M,81.6,
Wellmark Iowa,90834,"Individual psychotherapy, 45 min",,
Wellmark Iowa,90836,45-min psychotherapy add-on with E/M,103.7,
Wellmark Iowa,90837,"Individual psychotherapy, 60 min",,
Wellmark Iowa,90838,60-min psychotherapy add-on with E/M,,
Wellmark Iowa,90839,"Psychotherapy for crisis, first 60 min",,
Wellmark Iowa,90840,"Crisis psychotherapy, each additional 30 min",,
Wellmark Iowa,90846,Family psychotherapy without patient present,,
Wellmark Iowa,90847,Family psychotherapy with patient present,,
Wellmark Iowa,90849,Multiple-family group psychotherapy,,
Wellmark Iowa,90853,Group psychotherapy,,
Wellmark Iowa,90875,"Psychophysiological therapy with biofeedback, 30 min",,
Wellmark Iowa,90876,"Psychophysiological therapy with biofeedback, 45 min",,
Wellmark Iowa,90880,Hypnotherapy,,
Wellmark Iowa,90882,Environmental intervention for psychiatric treatment,,
Wellmark Iowa,90887,Interpretation of psychiatric records to family/caregivers,,
Wellmark Iowa,90901,"Biofeedback training, any modality",,
Wellmark Iowa,90867,"TMS treatment, initial delivery + motor threshold",,
Wellmark Iowa,90868,"TMS treatment, subsequent delivery",,
Wellmark Iowa,90869,TMS re-determination of motor threshold,,
Wellmark Iowa,90870,Electroconvulsive therapy (ECT),,
Wellmark Iowa,96110,Developmental screening,,
Wellmark Iowa,96116,"Neurobehavioral status exam, first hour",,
Wellmark Iowa,96121,"Neurobehavioral status exam, each additional hour",,
Wellmark Iowa,96127,Brief emotional/behavioral assessment,,
Wellmark Iowa,96156,Health behavior assessment or re-assessment,,
Wellmark Iowa,96160,Patient-focused health risk assessment,,
Wellmark Iowa,96161,Caregiver-focused health risk assessment,,
Wellmark Iowa,96130,"Psychological testing evaluation, first hour",,
Wellmark Iowa,96131,"Psychological testing evaluation, each additional hour",,
Wellmark Iowa,96132,"Neuropsychological testing evaluation, first hour",,
Wellmark Iowa,96133,"Neuropsychological testing evaluation, each additional hour",,
Wellmark Iowa,96136,"Test administration/scoring by clinician, first 30 min",,
Wellmark Iowa,96137,"Test administration/scoring by clinician, each additional 30 min",,
Wellmark Iowa,96138,"Test administration by technician, first 30 min",,
Wellmark Iowa,96139,"Test administration by technician, each additional 30 min",,
Wellmark Iowa,96146,Psychological test via automated platform,,
Wellmark Iowa,96158,"Individual health behavior intervention, first 30 min",,
Wellmark Iowa,96159,"Individual health behavior intervention, each additional 15 min",,
Wellmark Iowa,96164,"Group health behavior intervention, first 30 min",,
Wellmark Iowa,96165,"Group health behavior intervention, each additional 15 min",,
Wellmark Iowa,96167,"Family health behavior intervention with patient, first 30 min",,
Wellmark Iowa,96168,"Family health behavior intervention with patient, each additional 15 min",,
Wellmark Iowa,96170,"Family health behavior intervention without patient, first 30 min",,
Wellmark Iowa,96171,"Family health behavior intervention without patient, each additional 15 min",,
Wellmark Iowa,99202,"New patient E/M, low complexity ~15-29 min",,
Wellmark Iowa,99203,"New patient E/M, low complexity ~30-44 min",,
Wellmark Iowa,99204,"New patient E/M, moderate complexity ~45-59 min",,
Wellmark Iowa,99205,"New patient E/M, high complexity ~60-74 min",,
Wellmark Iowa,99211,"Established patient, minimal complexity",,
Wellmark Iowa,99212,"Established patient, straightforward ~10-19 min",,
Wellmark Iowa,99213,"Established patient, low complexity ~20-29 min",,
Wellmark Iowa,99214,"Established patient, moderate complexity ~30-39 min",155.7,
Wellmark Iowa,99215,"Established patient, high complexity ~40-54 min",,
Wellmark Iowa,99241,"Office consultation, straightforward",,
Wellmark Iowa,99242,"Office consultation, low complexity",,
Wellmark Iowa,99243,"Office consultation, moderate complexity",,
Wellmark Iowa,99244,"Office consultation, moderate-high complexity",,
Wellmark Iowa,99245,"Office consultation, high complexity",,
Wellmark Iowa,99341,"Home visit, new patient, low complexity",,
Wellmark Iowa,99350,"Home visit, established patient, high complexity",,
Wellmark Iowa,99417,"Prolonged outpatient E/M, each additional 15 min",,
Wellmark Iowa,99421,"Online digital E/M, 5-10 min (established patient)",,
Wellmark Iowa,99422,"Online digital E/M, 11-20 min (established patient)",,
Wellmark Iowa,99423,"Online digital E/M, 21+ min (established patient)",,
Wellmark Iowa,98970,"Non-physician online digital assessment, 5-10 min",,
Wellmark Iowa,98971,"Non-physician online digital assessment, 11-20 min",,
Wellmark Iowa,98972,"Non-physician online digital assessment, 21+ min",,
Wellmark Iowa,99441,"Telephone E/M, 5-10 min",,
Wellmark Iowa,99442,"Telephone E/M, 11-20 min",,
Wellmark Iowa,99443,"Telephone E/M, 21-30 min",,
Wellmark Iowa,G2010,Remote review of patient-submitted image/video,,
Wellmark Iowa,G2012,"Virtual check-in (brief communication, 5-10 min)",,
Wellmark Iowa,99401,"Preventive counseling, approx 15 min",,
Wellmark Iowa,99402,"Preventive counseling, approx 30 min",,
Wellmark Iowa,99403,"Preventive counseling, approx 45 min",,
Wellmark Iowa,99404,"Preventive counseling, approx 60 min",,
Wellmark Iowa,99406,"Tobacco/smoking cessation counseling, 3-10 min",,
Wellmark Iowa,99407,"Tobacco/smoking cessation counseling, more than 10 min",,
Wellmark Iowa,99408,"Alcohol/substance screening + brief intervention, 15-30 min",,
Wellmark Iowa,99409,"Alcohol/substance screening + brief intervention, more than 30 min",,
Wellmark Iowa,99411,"Group preventive counseling, approx 30 min",,
Wellmark Iowa,99412,"Group preventive counseling, approx 60 min",,
Wellmark Iowa,97802,"Medical nutrition therapy, initial assessment (per 15 min)",,
Wellmark Iowa,97803,"Medical nutrition therapy, re-assessment (per 15 min)",,
Wellmark Iowa,97804,"Medical nutrition therapy, group (per 30 min)",,
Wellmark Iowa,G0473,Group behavioral counseling for obesity,,
Wellmark Iowa,80305,"Drug test, presumptive — direct optical observation",,
Wellmark Iowa,80306,"Drug test, presumptive — instrument-assisted",,
Wellmark Iowa,96372,"Therapeutic injection, subcutaneous or intramuscular",,
Wellmark Iowa,99446,"Interprofessional consult, 5-10 min",,
Wellmark Iowa,99447,"Interprofessional consult, 11-20 min",,
Wellmark Iowa,99448,"Interprofessional consult, 21-30 min",,
Wellmark Iowa,99449,"Interprofessional consult, 31+ min",,
Wellmark Iowa,99451,Interprofessional consult with written report (no verbal discussion),,
Wellmark Iowa,99452,Requesting provider prep/communication time,,
Wellmark Iowa,G0546,"CMS behavioral health consult, 5-10 min",,
Wellmark Iowa,G0547,"CMS behavioral health consult, 11-20 min",,
Wellmark Iowa,G0548,"CMS behavioral health consult, 21-30 min",,
Wellmark Iowa,G0549,"CMS behavioral health consult, 31+ min",,
Wellmark Iowa,G0550,"CMS behavioral health consult, written report only",,
Wellmark Iowa,G0551,Extended records review / record referral service,,
Wellmark Iowa,99484,"General behavioral health integration, monthly (20+ min)",,
Wellmark Iowa,99492,"Psychiatric CoCM, initial month (70+ min)",,
Wellmark Iowa,99493,"Psychiatric CoCM, subsequent months (60+ min)",,
Wellmark Iowa,99494,CoCM additional 30 min (add-on),,
Wellmark Iowa,G0323,BHI by clinical psychologist or social worker,,
Wellmark Iowa,99483,Cognitive assessment and care plan,,
Wellmark Iowa,G2214,CoCM shorter-duration monthly service,,
Wellmark Iowa,G0511,General care management in RHC/FQHC,,
Wellmark Iowa,G0512,Psychiatric CoCM in RHC/FQHC,,
Wellmark Iowa,G0444,Annual depression screening (Medicare preventive),,
Wellmark Iowa,G0544,Post-crisis follow-up contacts,,
Wellmark Iowa,G0560,Suicide/overdose safety planning intervention,,
Wellmark Iowa,G0552,"Digital mental health treatment, supply + onboarding",,
Wellmark Iowa,G0553,"Digital mental health treatment management, first 20 min/month",,
Wellmark Iowa,G0554,"Digital mental health treatment management, additional 20 min",,
Wellmark Iowa,H0001,Alcohol and/or drug assessment,,
Wellmark Iowa,H0004,"Behavioral health counseling/therapy, per 15 min",,
Wellmark Iowa,H0005,Alcohol/drug group counseling,,
Wellmark Iowa,H0033,"Oral medication administration, directly observed",,
Wellmark Iowa,H2011,"Crisis intervention, per 15 min",,
Wellmark Iowa,H2014,"Skills training and development, per 15 min",,
Wellmark Iowa,98002,Optum/UHC telehealth equivalent of 99204,,
Wellmark Iowa,98003,Optum/UHC telehealth equivalent of 99205,,
Wellmark Iowa,98006,Optum/UHC telehealth equivalent of 99214,,
Wellmark Iowa,98007,Optum/UHC telehealth equivalent of 99215,,
